javascript-detect-element-resize,MIT,https://github.com/sdecima/javascript-detect-element-resize,js
jquery,MIT,https://github.com/jquery/jquery,js
jquery-ui,MIT,http://jqueryui.com/,js
jqueryui,MIT,http://jqueryui.com/,js
js-yaml,MIT,https://github.com/nodeca/js-yaml,js
jsonlint,MIT,https://github.com/zaach/jsonlint.git,js
kapusta-jquery.sparkline,BSD,http://omnipotent.net/jquery.sparkline/,js
keyring,PSF and MIT,http://bitbucket.org/kang/python-keyring-lib,pip
kombu,BSD,http://kombu.readthedocs.org,pip
loader.js,MIT,https://github.com/stefanpenner/loader.js,js
lodash,MIT,https://github.com/lodash/lodash,js
lrInfiniteScroll,MIT,https://github.com/lorenzofox3/lrInfiniteScroll,js
mock,BSD,http://www.voidspace.org.uk/python/mock/,pip
moment,MIT,http://momentjs.com/,js
mongoengine,MIT,http://mongoengine.org/,pip
netaddr,BSD,https://github.com/drkjam/netaddr/,pip
nvd3,Apache 2.0,http://www.nvd3.org,js
ordereddict,MIT,https://pypi.python.org/pypi/ordereddict,pip
os-client-config,Apache 2.0,http://www.openstack.org/,pip
os_diskconfig_python_novaclient_ext,Apache 2.0,https://github.com/rackerlabs/os_diskconfig_python_novaclient_ext,pip
os_networksv2_python_novaclient_ext,Apache 2.0,https://github.com/rackerlabs/os_networksv2_python_novaclient_ext,pip
os_virtual_interfacesv2_python_novaclient_ext,Apache 2.0,https://github.com/rackerlabs/os_virtual_interfacesv2_ext,pip
oslo.config,Apache 2.0,https://launchpad.net/oslo,pip
oslo.i18n,Apache 2.0,http://launchpad.net/oslo,pip
oslo.serialization,Apache 2.0,http://launchpad.net/oslo,pip
oslo.utils,Apache 2.0,http://launchpad.net/oslo,pip
pbr,Apache 2.0,http://pypi.python.org/pypi/pbr,pip
pexpect,ISC,http://pexpect.readthedocs.org/,pip
pip,MIT,http://www.pip-installer.org,pip
psphere,Apache 2.0,https://github.com/jkinred/psphere,pip
pyrax,Apache 2.0,https://github.com/rackspace/pyrax,pip
python-cinderclient,Apache 2.0,http://www.openstack.org/,pip
python-dateutil,BSD,https://dateutil.readthedocs.org,pip
python-glanceclient,Apache 2.0,http://www.openstack.org/,pip
python-ironicclient,Apache 2.0,http://www.openstack.org/,pip
python-keystoneclient,Apache 2.0,http://www.openstack.org/,pip
python-neutronclient,Apache 2.0,http://www.openstack.org/,pip
python-novaclient,Apache 2.0,https://git.openstack.org/cgit/openstack/python-novaclient,pip
python-swiftclient,Apache 2.0,http://www.openstack.org/,pip
python-troveclient,Apache 2.0,http://www.openstack.org/,pip
pytz,MIT,http://pythonhosted.org/pytz,pip
pywinrm,MIT,http://github.com/diyan/pywinrm/,pip
rackspace-auth-openstack,Apache 2.0,https://github.com/rackerlabs/rackspace-auth-openstack,pip
rackspace-novaclient,Apache 2.0,https://github.com/rackerlabs/rackspace-novaclient,pip
rax_default_network_flags_python_novaclient_ext,Apache 2.0,https://github.com/rackspace/rax_default_network_flags_python_novaclient_ext,pip
rax_scheduled_images_python_novaclient_ext,Apache 2.0,https://github.com/rackspace-titan/rax_scheduled_images_python_novaclient_ext,pip
redis,MIT,http://github.com/andymccurdy/redis-py,pip
requests,Apache 2.0,http://python-requests.org,pip
rrule,BSD,https://github.com/jakubroztocil/rrule.git,js
scrollto,MIT,https://github.com/balupton/jquery-scrollto,js
select2,MIT,https://github.com/chrisjbaik/select2.git,js
setuptools,PSF or ZPL,https://bitbucket.org/pypa/setuptools,pip
shade,Apache 2.0,http://ci.openstack.org/,pip
simplejson,MIT,http://github.com/simplejson/simplejson,pip
six,MIT,http://pypi.python.org/pypi/six/,pip
sizzle,MIT,https://github.com/jquery/sizzle.git,js
socket.io-client,MIT,https://github.com/Automattic/socket.io-client.git,js
stevedore,Apache 2.0,https://github.com/dreamhost/stevedore,pip
suds,LGPL 3,https://fedorahosted.org/suds,pip
timezone-js,Apache 2.0,https://github.com/mde/timezone-js.git,js
twitter,MIT,http://getbootstrap.com,js
underscore,MIT,https://github.com/jashkenas/underscore,js
xmltodict,MIT,https://github.com/martinblech/xmltodict,pip
